Texas A&M University Student Enrollment Summary,,,,,,,,,,,
Student Head Count by Level by College (College Station),,,,,,,,,,,
College G. Bush School of Govt,,,,,,,,,,,
Spring 2014,Student Level,,,,,,,,,,
,Undergraduate,,Masters,,Doctoral,,Professional,,Total,,
,#,%,#,%,#,%,#,%,#,%,
Gender                   Total,,,369,100.0%,,,,,369,100.0%,
Female,,,154,41.7%,,,,,154,41.7%,
Male,,,215,58.3%,,,,,215,58.3%,
Ethnicity                White Only,,,244,66.1%,,,,,244,66.1%,
American Indian Only,,,,,,,,,,,
Asian Only,,,11,3.0%,,,,,11,3.0%,
Black Only + 2 or more/1 Black,,,20,5.4%,,,,,20,5.4%,
Hispanic or Latino of any Race,,,44,11.9%,,,,,44,11.9%,
Native Hawaii Only,,,1,.3%,,,,,1,.3%,
2 or More/Excluding Black,,,9,2.4%,,,,,9,2.4%,
International,,,36,9.8%,,,,,36,9.8%,
Unknown or Not Reported,,,4,1.1%,,,,,4,1.1%,
TAMU Age            <18,,,,,,,,,,,
Categories             18-21,,,,,,,,,,,
22-25,,,160,43.4%,,,,,160,43.4%,
26-30,,,115,31.2%,,,,,115,31.2%,
31-39,,,58,15.7%,,,,,58,15.7%,
40+,,,36,9.8%,,,,,36,9.8%,
Enrollment           1st Time in College,,,,,,,,,,,
Status                     1st Time Transfer,,,,,,,,,,,
1st Time Graduate,,,42,11.4%,,,,,42,11.4%,
Readmitted,,,1,.3%,,,,,1,.3%,
Continuing,,,326,88.3%,,,,,326,88.3%,
Tuition Status       Resident Tuition,,,225,61.0%,,,,,225,61.0%,
Non-Resident Tuition,,,5,1.4%,,,,,5,1.4%,
Tuition Exemption/Waiver,,,139,37.7%,,,,,139,37.7%,
Residency Status Texas Resident,,,238,64.5%,,,,,238,64.5%,
"Non-TX, US Resident",,,90,24.4%,,,,,90,24.4%,
"Non-TX, Non-US Resident",,,41,11.1%,,,,,41,11.1%,
SCH Categories    < 6 SCH,,,40,10.8%,,,,,40,10.8%,
6-8 SCH,,,45,12.2%,,,,,45,12.2%,
9-11 SCH,,,37,10.0%,,,,,37,10.0%,
12-14 SCH,,,233,63.1%,,,,,233,63.1%,
15-17 SCH,,,13,3.5%,,,,,13,3.5%,
>17 SCH,,,1,.3%,,,,,1,.3%,
Ft/Pt:  TAMU       Less Than Half Time,,,40,10.8%,,,,,40,10.8%,
Status                     Half-Time,,,45,12.2%,,,,,45,12.2%,
Full-Time,,,284,77.0%,,,,,284,77.0%,
Top 10% Texas     No,,,349,94.6%,,,,,349,94.6%,
High School          Yes,,,20,5.4%,,,,,20,5.4%,
First Generation  No,,,237,64.2%,,,,,237,64.2%,
Unknown,,,52,14.1%,,,,,52,14.1%,
Yes,,,80,21.7%,,,,,80,21.7%,
"Table 8     Prepared by DARS, 2/14/2014",,,,,,,,,,,
