ALL Students by Country,,,,,,
(College Station),,,,,,
Country,,,,,,
,Total,Undergraduate,Masters,Doctoral,Professional,
Costa Rica,9,5,1,3,,
South Africa,8,4,2,2,,
Qatar,8,2,1,5,,
Honduras,8,4,3,1,,
Cameroon,8,5,2,1,,
Australia,8,8,,,,
Philippines,7,,1,6,,
Lebanon,7,,1,6,,
Greece,7,1,2,4,,
Oman,6,2,,4,,
New Zealand,6,2,,4,,
Kazakhstan,6,4,2,,,
Israel,6,2,,4,,
Chile,6,,1,5,,
Bahrain,6,1,3,2,,
Argentina,6,1,2,3,,
Ukraine,5,,1,4,,
El Salvador,5,1,,4,,
Tunisia,4,1,2,1,,
Serbia,4,1,,3,,
Romania,4,2,,2,,
Libya,4,,1,3,,
Kenya,4,1,,3,,
Azerbaijan,4,3,,1,,
Zimbabwe,3,1,1,1,,
Uzbekistan,3,1,,2,,
Trinidad and Tobago,3,3,,,,
Switzerland,3,1,1,1,,
Sweden,3,3,,,,
Netherlands,3,2,,1,,
Myanmar (Burma),3,1,2,,,
Jamaica,3,,1,2,,
Czech Republic,3,1,1,1,,
Zambia,2,,,2,,
Uganda,2,1,,1,,
Poland,2,,1,1,,
Norway,2,2,,,,
Morocco,2,1,1,,,
Macau,2,,1,1,,
Grenada,2,1,,1,,
Denmark,2,1,,1,,
Cyprus,2,1,1,,,
