Country,,,,,,
,Total,Undergraduate,Masters,Doctoral,Professional,
Bulgaria,2,,,2,,
Belgium,2,,,2,,
Belarus,2,,1,1,,
Austria,2,,2,,,
Albania,2,1,,1,,
Uruguay,1,,,1,,
Turkmenistan,1,1,,,,
The Bahamas,1,1,,,,
Tanzania,1,1,,,,
Syria,1,1,,,,
Sudan,1,,1,,,
Slovakia,1,,,1,,
Sierra Leone,1,,1,,,
Rwanda,1,,,1,,
Portugal,1,,,1,,
Paraguay,1,1,,,,
Papua New Guinea,1,,,1,,
Nicaragua,1,1,,,,
Malawi,1,,1,,,
Madagascar,1,,1,,,
Luxembourg,1,1,,,,
Lithuania,1,,,1,,
Ivory Coast,1,1,,,,
Ireland,1,1,,,,
Hungary,1,,,1,,
Georgia,1,,,1,,
Ethiopia,1,,,1,,
Croatia,1,1,,,,
Belize,1,,,1,,
Antigua,1,1,,,,
Angola,1,1,,,,
Afghanistan,1,,1,,,
"Prepared by DARS, 2/21/2014",,,,,,
