Spring 2014,,Undergraduate,,,,,Masters,,Doctoral,,Professional,,Grand Total
,,Freshman,Sophomore,Junior,Senior,Total,Masters,Total,Doctoral,Total,Professional,Total,
Agriculture,AGEC,1,2,1,1,5,2,2,5,5,,,12
ALEC,,,2,,1,3,,,3,3,,,6
ANSC,,2,3,,2,7,,,,,,,7
BAEN,,3,,2,2,7,1,1,,,,,8
BCBP,,17,6,12,22,57,,,2,2,,,59
CLAG,,,1,,,1,,,,,,,1
ENTO,,2,,,4,6,1,1,1,1,,,8
ESSM,,,1,1,1,3,1,1,1,1,,,5
HRSC,,,1,,2,3,,,1,1,,,4
NFSC,,6,8,14,17,45,1,1,,,,,46
PLPM,,4,4,11,11,30,,,2,2,,,32
POSC,,,,,,,,,,,,,
RPTS,,,2,1,3,6,1,1,3,3,,,10
SCSC,,,1,3,,4,4,4,3,3,,,11
WFSC,,,,2,2,4,,,,,,,4
Subtotal,,35,31,47,68,181,11,11,21,21,,,213
Architecture,ARCH,2,2,7,5,16,2,2,1,1,,,19
CLAR,,1,3,1,2,7,,,,,,,7
COSC,,,5,2,2,9,2,2,,,,,11
LAUP,,,3,3,1,7,,,2,2,,,9
VIZA,,,1,3,6,10,5,5,,,,,15
Subtotal,,3,14,16,16,49,9,9,3,3,,,61
Business,ACCT,,,12,25,37,7,7,1,1,,,45
Admin,CLBA,42,35,20,9,106,32,32,,,,,138
FINC,,,1,17,27,45,7,7,1,1,,,53
INFO,,,1,10,32,43,2,2,,,,,45
MGMT,,,,1,6,7,3,3,2,2,,,12
MKTG,,,1,4,5,10,2,2,,,,,12
Subtotal,,42,38,64,104,248,53,53,4,4,,,305
Education,CLED,,,,,,,,,,,,
EAHR,,4,2,4,11,21,3,3,9,9,,,33
EPSY,,1,,,3,4,3,3,8,8,,,15
HLKN,,5,16,29,28,78,2,2,4,4,,,84
TLAC,,1,6,3,4,14,6,6,2,2,,,22
Subtotal,,11,24,36,46,117,14,14,23,23,,,154
