Spring 2014,,Undergraduate,,,,,Masters,,Doctoral,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,Total,Masters,Total,Doctoral,Total,Professional,Total,,
Science,BIOL,96,83,64,99,342,,,6,6,,,348,
CHEM,,13,11,12,19,55,,,14,14,,,69,
CLSC,,5,,3,1,9,,,,,,,9,
MATH,,53,24,19,38,134,3,3,2,2,,,139,
PHYS,,30,16,8,2,56,2,2,10,10,,,68,
STAT,,,,,,,8,8,,,,,8,
Subtotal,,197,134,106,159,596,13,13,32,32,,,641,
Veterinary,CLVM,118,99,69,109,395,5,5,,,37,37,437,
Medicine,VIBS,,,,,,10,10,,,,,10,
VLCS,,,,,,,,,1,1,,,1,
VSCS,,,,,,,1,1,1,1,,,2,
VTPB,,,,,,,2,2,3,3,,,5,
VTPP,,,,,,,2,2,2,2,,,4,
Subtotal,,118,99,69,109,395,20,20,7,7,37,37,459,
General,GEST,344,191,29,2,566,,,,,,,566,
Studies,Subtotal,344,191,29,2,566,,,,,,,566,
Veterinary,MARB,,1,,,1,,,,,,,1,
Medicine,MARS,,,,,,,,,,,,,
SABX,,,,1,,1,,,,,,,1,
SRPH,,,,,,,5,5,,,,,5,
Subtotal,,,1,1,,2,5,5,,,,,7,
University,Total,"1,580","1,764","1,819","2,612","7,775",454,454,384,384,37,37,"8,650",
"Prepared by DARS, 14 Feb 14",,,,,,,,,,,,,,
