Spring 2014,Undergraduate,,,,,Masters,,Doctoral,,Professional,,Grand Total
,Freshman,Sophomore,Junior,Senior,Total,Masters,Total,Doctoral,Total,Professional,Total,
Engineering       AERO,1,5,3,6,15,1,1,,,,,16
BMEN,2,3,2,7,14,1,1,3,3,,,18
CHEN,1,6,6,8,21,,,1,1,,,22
CLEN,9,2,,,11,,,,,,,11
CSCE,4,9,3,11,27,2,2,,,,,29
CVEN,5,4,1,4,14,3,3,1,1,,,18
ECEN,4,8,5,13,30,1,1,2,2,,,33
ETID,,1,4,10,15,1,1,,,,,16
ISEN,1,3,4,11,19,1,1,,,,,20
MEEN,6,6,9,5,26,1,1,,,,,27
MSEN,,,,,,,,1,1,,,1
NUEN,,1,4,3,8,,,1,1,,,9
PETE,4,5,3,8,20,3,3,,,,,23
Subtotal,37,53,44,86,220,14,14,9,9,,,243
G. Bush School  BUSH,,,,,,9,9,,,,,9
of Govt                Subtotal,,,,,,9,9,,,,,9
Geosciences       ATMO,3,,,,3,,,,,,,3
CLGE,,1,2,3,6,,,,,,,6
GEOG,1,2,1,1,5,,,2,2,,,7
GEPL,1,,2,2,5,,,,,,,5
OCNG,,,,,,,,1,1,,,1
Subtotal,5,3,5,6,19,,,3,3,,,22
Liberal Arts        ANTH,1,1,1,4,7,,,4,4,,,11
CLLA,,,,,,,,,,,,
COMM,,7,9,5,21,,,,,,,21
ECON,,2,7,10,19,,,1,1,,,20
ENGL,2,2,2,4,10,,,1,1,,,11
HISP,,1,,,1,,,,,,,1
HIST,,8,6,4,18,,,,,,,18
INTS,,5,1,13,19,,,,,,,19
PHUM,1,2,1,2,6,,,,,,,6
POLS,4,4,3,10,21,,,,,,,21
PRFM,,1,,,1,1,1,,,,,2
PSYC,3,4,9,6,22,,,,,,,22
SOCI,,2,5,3,10,1,1,2,2,,,13
Subtotal,11,39,44,61,155,2,2,8,8,,,165
