Spring 2014,Undergraduate,,,,,Masters,,Doctoral,,Professional,,Grand Total,
,Freshman,Sophomore,Junior,Senior,Total,Masters,Total,Doctoral,Total,Professional,Total,,
Science                BIOL,14,9,8,12,43,,,,,,,43,
CHEM,1,1,3,3,8,,,,,,,8,
CLSC,,,,,,,,,,,,,
MATH,3,1,2,6,12,2,2,2,2,,,16,
PHYS,4,3,1,,8,1,1,4,4,,,13,
STAT,,,,,,,,1,1,,,1,
Subtotal,22,14,14,21,71,3,3,7,7,,,81,
Veterinary          CLVM,11,9,14,16,50,,,,,4,4,54,
Medicine            VIBS,,,,,,3,3,,,,,3,
VTPB,,,,,,,,1,1,,,1,
VTPP,,,,,,,,,,,,,
Subtotal,11,9,14,16,50,3,3,1,1,4,4,58,
General               GEST,44,23,2,,69,,,,,,,69,
Studies                Subtotal,44,23,2,,69,,,,,,,69,
Other - Special  CLMD,,,,,,1,1,,,,,1,
Populations       SRPH,,,,,,,,,,,,,
Subtotal,,,,,,1,1,,,,,1,
University          Total,168,212,222,336,938,57,57,43,43,4,4,"1,042",
"Prepared by DARS, 14 Feb 14",,,,,,,,,,,,,
