Texas A&M University Student Enrollment Summary,,,,,
Student Head Count by Level (School of Law),,,,,
"School of Law, Spring 2014",Professional,,Total,,
,#,%,#,%,
Gender              Total,698,100.0%,698,100.0%,
Female,341,48.9%,341,48.9%,
Male,357,51.1%,357,51.1%,
Ethnicity           White Only,488,69.9%,488,69.9%,
American Indian Only,2,.3%,2,.3%,
Asian Only,24,3.4%,24,3.4%,
Black Only + 2 or more/1 Black,47,6.7%,47,6.7%,
Hispanic or Latino of any Race,102,14.6%,102,14.6%,
2 or More/Excluding Black,19,2.7%,19,2.7%,
International,2,.3%,2,.3%,
Unknown or Not Reported,14,2.0%,14,2.0%,
TAMU Age        <18,,,,,
Categories         18-21,1,.1%,1,.1%,
22-25,194,27.8%,194,27.8%,
26-30,276,39.5%,276,39.5%,
31-39,160,22.9%,160,22.9%,
40+,67,9.6%,67,9.6%,
Enrollment       Continuing,698,100.0%,698,100.0%,
Tuition Status  Resident Tuition,649,93.0%,649,93.0%,
Non-Resident Tuition,49,7.0%,49,7.0%,
Residency         Texas Resident,683,97.9%,683,97.9%,
"Status                Non-TX, US Resident",13,1.9%,13,1.9%,
"Non-TX, Non-US Resident",2,.3%,2,.3%,
SCH                   < 6 SCH,7,1.0%,7,1.0%,
Categories         6-8 SCH,24,3.4%,24,3.4%,
9-11 SCH,163,23.4%,163,23.4%,
12-14 SCH,162,23.2%,162,23.2%,
15-17 SCH,339,48.6%,339,48.6%,
>17 SCH,3,.4%,3,.4%,
"Table 5    Prepared by DARS, 2/14/2014",,,,,
