Headcount by Department by Classification/Degree Objective by Ethnicity,,,,,,,,,,,,,
(College Station),,,,,,,,,,,,,
Ethnicity Unknown or Not Reported,,,,,,,,,,,,,
Spring 2014,Undergraduate,,,,,Masters,,Doctoral,,Professional,,Grand Total,
,Freshman,Sophomore,Junior,Senior,Total,Masters,Total,Doctoral,Total,Professional,Total,,
Engineering       AERO,1,,,1,2,,,,,,,2,
BMEN,,,,2,2,1,1,,,,,3,
CHEN,,,,4,4,1,1,,,,,5,
CLEN,1,,,,1,,,1,1,,,2,
CSCE,,,1,,1,3,3,3,3,,,7,
CVEN,,,1,,1,2,2,3,3,,,6,
ECEN,1,,,3,4,1,1,5,5,,,10,
ETID,,,,,,4,4,,,,,4,
ISEN,,,,2,2,,,,,,,2,
MEEN,,,1,3,4,2,2,,,,,6,
MSEN,,,,,,1,1,,,,,1,
NUEN,,,,,,,,,,,,,
PETE,,,,4,4,9,9,1,1,,,14,
Subtotal,3,,3,19,25,24,24,13,13,,,62,
G. Bush School  BUSH,,,,,,4,4,,,,,4,
of Govt                Subtotal,,,,,,4,4,,,,,4,
Geosciences       ATMO,,,,,,,,,,,,,
CLGE,,,,,,,,,,,,,
GEOG,,,,,,,,1,1,,,1,
GEPL,,,,,,,,2,2,,,2,
OCNG,,,,,,,,1,1,,,1,
Subtotal,,,,,,,,4,4,,,4,
Liberal Arts        ANTH,,,,,,,,2,2,,,2,
CLLA,,,,,,,,,,,,,
COMM,,,,1,1,1,1,2,2,,,4,
ECON,,,4,1,5,2,2,1,1,,,8,
ENGL,,1,,,1,,,1,1,,,2,
HISP,,,,,,,,2,2,,,2,
HIST,,,,1,1,,,3,3,,,4,
INTS,,,,2,2,,,,,,,2,
PHUM,,,1,,1,,,1,1,,,2,
POLS,,,1,3,4,1,1,,,,,5,
PRFM,,,,,,1,1,,,,,1,
PSYC,,,,,,,,,,,,,
SOCI,,1,,1,2,,,1,1,,,3,
Subtotal,,2,6,9,17,5,5,13,13,,,35,
