Spring 2014,Undergraduate,,,,,Masters,,Doctoral,,Professional,,Grand Total,
,Freshman,Sophomore,Junior,Senior,Total,Masters,Total,Doctoral,Total,Professional,Total,,
Science                BIOL,,,3,1,4,,,,,,,4,
CHEM,,,,1,1,,,4,4,,,5,
CLSC,,,,,,,,,,,,,
MATH,2,,1,1,4,1,1,1,1,,,6,
PHYS,,,1,,1,,,4,4,,,5,
STAT,,,,,,6,6,,,,,6,
Subtotal,2,,5,3,10,7,7,9,9,,,26,
Veterinary          CLVM,2,,1,1,4,,,,,10,10,14,
Medicine            VIBS,,,,,,1,1,1,1,,,2,
VLCS,,,,,,,,,,,,,
VSCS,,,,,,,,,,,,,
VTPB,,,,,,,,1,1,,,1,
VTPP,,,,,,,,,,,,,
Subtotal,2,,1,1,4,1,1,2,2,10,10,17,
General               GEST,1,2,,,3,,,,,,,3,
Studies                Subtotal,1,2,,,3,,,,,,,3,
Other - Special  CLMD,,,,,,,,,,,,,
Populations       GACD,,,,,,,,,,,,,
MARB,,,,,,,,,,,,,
MARS,,,,,,,,,,,,,
SABX,,,,,,,,,,,,,
SRPH,,,,,,3,3,,,,,3,
Subtotal,,,,,,3,3,,,,,3,
University          Total,11,7,24,42,84,111,111,56,56,10,10,261,
"Prepared by DARS, 14 Feb 14",,,,,,,,,,,,,
