Spring 2014,,Undergraduate,,,,Masters,,,Doctoral,,,Professional,Total
,,1st Time in College,1st Time Transfer,Readmitted,Continuing,1st Time Graduate,Readmitted,Continuing,1st Time Graduate,Readmitted,Continuing,Continuing,
Engineering,AERL,1,6,1,269,,,,,,,,277
AERO,,,,,327,4,,30,1,,71,,433
BIOT,,,,,,,,27,,,,,27
BMEL,,2,2,,128,,,,,,,,132
BMEN,,,3,,241,,,16,1,,89,,350
CECL,,1,7,2,162,,,,,,,,172
CECN,,,,,149,3,,42,,,43,,237
CEEL,,1,3,1,81,,,,,,,,86
CEEN,,,,,115,1,,123,1,,40,,280
CHEL,,3,5,2,209,,,,,,,,219
CHEN,,,,,400,2,,15,2,,84,,503
CPSC,,,,1,299,3,,108,,,83,,494
CPSL,,2,14,5,240,,,,,,,,261
CVEL,,2,3,,256,,,,,,,,261
CVEN,,,7,1,559,19,,171,4,,127,,888
ELEL,,4,10,1,304,,,,,,,,319
ELEN,,,,,499,8,,135,8,,265,,915
ENGE,,,,,209,,,,,,,,209
ENGR,,,,,,,,,,,7,,7
ENSM,,,,,,,,10,,,,,10
ENTC,,,,,293,,,,,,,,293
ENTL,,,5,6,202,,,,,,,,213
ESET,,,2,3,35,,,,,,,,40
HLPH,,,,,,1,,13,,,,,14
IDIL,,1,9,,108,,,,,,,,118
IDIS,,,2,1,406,,,63,,,,,472
INEL,,,26,6,200,,,,,,,,232
INEN,,,,,422,4,,141,2,,40,,609
ITDE,,,,,,,,,,,4,,4
MEEL,,9,11,1,295,,,,,,,,316
MEEN,,,,1,817,23,,149,11,,230,,"1,231"
MSEN,,,,,,2,,11,4,,77,,94
NUEL,,,2,3,71,,,,,,,,76
NUEN,,,,,127,4,,47,5,,75,,258
OCEL,,,1,,32,,,,,,,,33
OCEN,,,,,83,,1,31,,,29,,144
PETE,,,,1,531,34,1,211,9,,106,,893
PETL,,8,11,2,255,,,,,,,,276
RHEL,,,,,20,,,,,,,,20
RHEN,,,,,44,,,,,,,,44
SENG,,,,,,5,,21,,,,,26
USEN,,,,,1,,,,,,,,1
WMHS,,,,,,,,1,,,,,1
Subtotal,,34,129,38,"8,389",113,2,"1,365",48,,"1,370",,"11,488"
G. Bush School of,CAIA,,,,,17,1,26,,,,,44
Govt,CHLS,,,,,5,,16,,,,,21
CNPM,,,,,,20,,11,,,,,31
INTA,,,,,,,,159,,,,,159
PSAA,,,,,,,,114,,,,,114
Subtotal,,,,,,42,1,326,,,,,369
